Id,Doc_Name
1,Joe waited for the train.
2,The train was late.
3,Mary and Samantha took the bus.
4,I looked for Mary and Samantha at the bus station.
5,Mary and Samantha arrived at the bus station early but waited until noon for the bus.
6,"Joe waited for the train, but the train was late."
7,"I looked for Mary and Samantha at the bus station, but they arrived at the station before noon and left on the bus before I arrived."
8,"Mary and Samantha arrived at the bus station before noon, and they left on the bus before I arrived."
9,"Mary and Samantha left on the bus before I arrived, so I did not see them at the bus station."
10,"Because Mary and Samantha arrived at the bus station before noon, I did not see them at the station."
